pose_name,repo,episode,frames,clean_final_action_state_l2,clean_max_action_state_l2,clean_p95_action_state_l2,torque_min,torque_max
center_cluster,targeted5_center_cluster_w30_n3_clean_v1,0,204,0.045374546200037,0.1551603525876999,0.13471255153417586,-43.380958557128906,0.004970291163772345
center_cluster,targeted5_center_cluster_w30_n3_clean_v1,1,204,0.050075653940439224,0.15424980223178864,0.13646227568387986,-46.19048309326172,0.004512505605816841
center_cluster,targeted5_center_cluster_w30_n3_clean_v1,2,205,0.047199320048093796,0.14453619718551636,0.12901826798915864,-43.380096435546875,0.00456613814458251
right_center,targeted5_right_center_w30_n3_clean_v1,0,204,0.050045810639858246,0.13360095024108887,0.12601442150771616,-44.17124557495117,0.004373166710138321
right_center,targeted5_right_center_w30_n3_clean_v1,1,207,0.04483911022543907,0.1304159313440323,0.11588002666831015,-44.18946075439453,0.004173602908849716
right_center,targeted5_right_center_w30_n3_clean_v1,2,199,0.05368945375084877,0.1194591075181961,0.10857406109571456,-44.86463928222656,0.003547792322933674
right_upper,targeted5_right_upper_w30_n3_clean_v1,0,201,0.05837520956993103,0.11821406334638596,0.10768506675958633,-43.38148880004883,0.0018353635678067803
right_upper,targeted5_right_upper_w30_n3_clean_v1,1,208,0.0526733435690403,0.13522319495677948,0.11944561973214136,-44.099525451660156,0.00249796686694026
right_upper,targeted5_right_upper_w30_n3_clean_v1,2,200,0.06087692081928253,0.13720086216926575,0.11232970282435416,-43.381168365478516,0.0019816432613879442
right_lower,targeted5_right_lower_w30_n3_clean_v1,0,206,0.050114650279283524,0.1349218338727951,0.11877255700528622,-43.38404846191406,0.006596412044018507
right_lower,targeted5_right_lower_w30_n3_clean_v1,1,204,0.05259692296385765,0.12692682445049286,0.12034099735319613,-43.383426666259766,0.00536346435546875
right_lower,targeted5_right_lower_w30_n3_clean_v1,2,200,0.05975984036922455,0.12657319009304047,0.11984644643962383,-43.44154357910156,0.005328764673322439
left_lower,targeted5_left_lower_w30_n3_clean_v1,0,213,0.04970795288681984,0.3068402409553528,0.25610733032226546,-43.75154113769531,0.007658228278160095
left_lower,targeted5_left_lower_w30_n3_clean_v1,1,209,0.050399649888277054,0.2172040343284607,0.18627418875694274,-44.168357849121094,0.006648613139986992
left_lower,targeted5_left_lower_w30_n3_clean_v1,2,198,0.05165064334869385,0.3174465298652649,0.259314465522766,-43.38106918334961,0.008640904910862446
