episode,seed,visual50k,visualonly5k,torque5k,torque_new_failure,final_eef_cube_visualonly5k,final_eef_cube_torque5k,steps_visualonly5k,steps_torque5k
0,1000,True,True,True,False,0.23826958239078522,0.23826958239078522,199,199
1,1001,True,True,True,False,0.2735518217086792,0.2735518217086792,195,195
2,1002,False,False,False,False,0.12679925560951233,0.0626119002699852,300,300
3,1003,True,True,True,False,0.26514336466789246,0.26514336466789246,198,205
4,1004,True,True,True,False,0.25811076164245605,0.25811076164245605,204,200
5,1005,True,True,True,False,0.2730213403701782,0.2730213403701782,209,209
6,1006,False,False,False,False,0.12007144093513489,0.09612391144037247,300,300
7,1007,True,True,False,True,0.2682764530181885,0.03676246851682663,196,300
8,1008,True,True,True,False,0.28475478291511536,0.28475478291511536,195,198
9,1009,True,True,True,False,0.27097833156585693,0.27097833156585693,201,199
