episode,seed,n_paired_steps,visualonly_success,torque_success,mae_dim0,mae_dim1,mae_dim2,mae_dim3,mae_dim4,mae_dim5,mae_dim6,mae_dim7,max_dim0,max_dim1,max_dim2,max_dim3,max_dim4,max_dim5,max_dim6,max_dim7
0,1000,199,True,True,0.002507,0.004579,0.003403,0.002582,0.003482,0.004872,0.011739,0.005821,0.007529,0.02166,0.010181,0.010531,0.01647,0.018378,0.022329,0.018925
1,1001,195,True,True,0.007137,0.008828,0.00518,0.008212,0.003906,0.010595,0.010512,0.007162,0.014651,0.035598,0.011703,0.031223,0.013772,0.027225,0.027626,0.115748
2,1002,300,False,False,0.026482,0.100213,0.026036,0.056505,0.036807,0.06723,0.073433,0.246228,0.147183,0.573921,0.080938,0.470413,0.124963,0.242596,0.340775,2.01941
3,1003,198,True,True,0.005395,0.012012,0.007406,0.00948,0.003285,0.010905,0.044809,0.016859,0.144758,0.522145,0.171885,0.245912,0.039451,0.220164,0.366109,1.938499
4,1004,200,True,True,0.009832,0.024642,0.00867,0.022538,0.014487,0.025904,0.042796,0.074853,0.233499,0.65167,0.146044,0.428434,0.069559,0.229325,0.474999,2.024016
5,1005,209,True,True,0.01165,0.006362,0.011506,0.006887,0.006658,0.014645,0.060898,0.005504,0.02471,0.030685,0.025066,0.018704,0.020301,0.040259,0.105351,0.024493
6,1006,300,False,False,0.012029,0.038565,0.01219,0.01601,0.019125,0.029056,0.030582,0.032625,0.14023,0.541496,0.155873,0.248126,0.161019,0.330875,0.472206,1.924203
7,1007,196,True,False,0.023927,0.053033,0.021053,0.04357,0.049316,0.034758,0.099629,0.083762,0.191909,0.680261,0.187861,0.461625,0.122939,0.237391,0.27542,1.960976
8,1008,195,True,True,0.01245,0.036819,0.014531,0.025505,0.009851,0.025958,0.064857,0.075281,0.205245,0.549521,0.164761,0.26432,0.069408,0.291226,0.321706,2.035805
9,1009,199,True,True,0.024475,0.025448,0.022732,0.022786,0.015692,0.026208,0.045607,0.042675,0.328969,0.694509,0.052027,0.518756,0.043965,0.182241,0.708645,2.000409
